time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1771459088.0538402,0,0,0,0,0,0,87,29,5,0,0,0,43.1044140625,101071,12.332914006409492,1002.6668186884252,88.48717385634886
1771459090.0656545,0,0,0,0,0,0,87,29,5,0,0,0,43.1063671875,102536,12.303003110341614,1002.6717623712341,88.44566298537889
1771459092.0786645,0,0,0,0,0,0,99,33,5,0,0,0,43.107734375,103496,12.253086425527295,1002.6668591527027,88.4868340872364
1771459094.0917022,0,0,0,0,0,0,99,33,5,0,0,0,43.0969921875,105534,12.172710421415179,1002.6672514413049,88.48354013178032
1771459096.1028106,0,0,0,0,0,0,99,33,5,0,0,0,43.096015625,104908,12.127740375096911,1002.6745668550083,88.42211450858892
1771459098.1157444,0,0,0,0,0,0,108,36,8,0,0,0,43.0934765625,105471,12.157582493520717,1002.6668943925954,88.48653818607129
1771459100.1287491,0,0,0,0,0,0,108,36,8,0,0,0,43.089375,106104,12.327264886517236,1002.6638085444911,88.51244936502778
1771459102.141724,0,0,0,0,0,0,108,36,8,0,0,0,43.092890625,106744,12.417439987569546,1002.6712836112279,88.44968300643832
1771459104.154545,0,0,0,0,0,0,117,39,8,0,0,0,43.0774609375,107523,12.356749212716169,1002.67119867372,88.45039620437616
1771459106.1671422,0,0,0,0,0,0,117,39,8,0,0,0,43.033515625,109317,12.264887088075188,1002.6711760463232,88.45058620068905
1771459108.180054,0,0,0,0,0,0,117,39,8,0,0,0,42.9962109375,109724,12.13846633581138,1002.6694497492804,88.46508147423368
1771459110.1917868,0,0,0,0,0,0,117,39,9,0,0,0,42.9716015625,110409,12.097508317530718,1002.6669382495322,88.48616992961121
1771459112.2036097,0,0,0,0,0,0,117,39,9,0,0,0,42.958515625,111382,12.037114449256094,1002.663526063693,88.51482129657289
1771459114.216588,0,0,0,0,0,0,117,39,9,0,0,0,42.9559765625,111805,12.086870532484292,1002.6647492636334,88.50455034915542
1771459116.2295587,0,0,0,0,0,0,129,42,10,0,0,0,42.953828125,112373,12.111718796995687,1002.6648262615527,88.50390381448831
1771459118.2425914,0,0,0,0,0,0,129,42,10,0,0,0,42.945234375,112516,12.171227962429835,1002.6580176548267,88.56107434951645
1771459120.2556143,0,0,0,0,0,0,129,42,10,0,0,0,42.9415234375,113309,12.191034162687611,1002.6626790720651,88.52193330946601
1771459122.2685947,0,0,0,0,0,0,129,42,11,0,0,0,42.953828125,114113,12.261464381461542,1002.6559306687467,88.5785984251696
1771459124.2810493,0,0,0,0,0,0,129,42,11,0,0,0,42.958125,114260,12.286625124775938,1002.6611139835555,88.53507504562116
1771459126.293998,0,0,0,0,0,0,129,42,11,0,0,0,42.9481640625,115228,12.266215855440498,1002.6574275288199,88.56602953663595
1771459128.3069606,0,0,0,0,0,0,120,38,8,0,0,0,42.946796875,115529,12.216220070001462,1002.6569912867027,88.56969258857399
1771459130.32037,0,0,0,0,0,0,120,38,8,0,0,0,42.9524609375,116518,12.206477353313987,1002.6626109206543,88.52250556292509
1771459132.3334012,0,0,0,0,0,0,120,38,8,0,0,0,42.9596875,116981,12.186818236486618,1002.6547501081418,88.5885114096629
1771459134.3463821,0,0,0,0,0,0,105,33,8,0,0,0,42.97609375,117760,12.217473826127577,1002.6493085785027,88.63420321314354
1771459136.3594294,0,0,0,0,0,0,105,33,8,0,0,0,43.0005078125,118074,12.258473771998124,1002.6532817222293,88.60084123185429
1771459138.3724556,0,0,0,0,0,0,105,33,8,0,0,0,43.0219921875,118311,12.279380213055877,1002.6453885481787,88.6671193128693
1771459140.3855011,0,0,0,0,0,0,111,35,8,0,0,0,43.0419140625,118628,12.280237124264817,1002.6331819455696,88.76961759271911
1771459142.3984854,0,0,0,0,0,0,111,35,8,0,0,0,43.05890625,118948,12.260981876798597,1002.6375792994704,88.73269309813097
1771459144.411047,0,0,0,0,0,0,111,35,8,0,0,0,43.0778515625,119834,12.251803316482357,1002.6380219523384,88.72897615793333
1771459146.4240775,0,0,0,0,0,0,93,29,7,0,0,0,43.100703125,120487,12.242792102161502,1002.6430116743697,88.6870777335452
1771459148.437107,0,0,0,0,0,0,93,29,7,0,0,0,43.1145703125,120982,12.158481818878819,1002.6441221905644,88.67775281245302
1771459150.4500759,0,0,0,0,0,0,93,29,7,0,0,0,43.13,121480,12.144161985791628,1002.642424290403,88.69200995598351
1771459152.4631262,0,0,0,0,0,0,99,31,8,0,0,0,43.144453125,121815,12.14477765632219,1002.639143270612,88.71956049469875
1771459154.4760823,0,0,0,0,0,0,99,31,8,0,0,0,43.16671875,122405,12.170693233047638,1002.6449571100899,88.6707420614063
1771459156.4891763,0,0,0,0,0,0,99,31,8,0,0,0,43.18234375,124123,12.181349047367085,1002.6471312513974,88.65248599664214
1771459158.502151,0,0,0,0,0,0,93,29,6,0,0,0,43.195625,123172,12.156945144954527,1002.6419483929926,88.69600603525802
1771459160.5147617,0,0,0,0,0,0,93,29,6,0,0,0,43.214765625,123430,12.147773850457675,1002.6426957675874,88.68973038060103
1771459162.5271635,0,0,0,0,0,0,93,29,6,0,0,0,43.243671875,123602,12.168984259661697,1002.6414602719933,88.70010475679453
1771459164.5401318,0,0,0,0,0,0,84,26,7,0,0,0,43.2598828125,124912,12.16967650730091,1002.6338984729014,88.76360091780505
1771459166.5531769,0,0,0,0,0,0,84,26,7,0,0,0,43.2794140625,124824,12.130553095830889,1002.6352727220303,88.75206136737455
1771459168.5656078,0,0,0,0,0,0,84,26,7,0,0,0,43.2989453125,125000,12.131384853096446,1002.6419854392353,88.69569496033407
1771459170.577346,0,0,0,0,0,0,84,26,6,0,0,0,43.3239453125,125621,12.112473043290802,1002.6433128912741,88.68454843699344
1771459172.5891929,0,0,0,0,0,0,84,26,6,0,0,0,43.3536328125,126520,12.1337144804356,1002.6344270294659,88.75916263431687
1771459174.6021988,0,0,0,0,0,0,84,26,6,0,0,0,43.3841015625,128170,12.145004398312548,1002.6357028484946,88.74844960419064
1771459176.6152194,0,0,0,0,0,0,66,20,5,0,0,0,43.4063671875,126159,12.130966080464304,1002.6414942426725,88.69981950707529
1771459178.6282916,0,0,0,0,0,0,66,20,5,0,0,0,43.416328125,128730,12.106413801497641,1002.6505031887158,88.62417221224568
1771459180.641267,0,0,0,0,0,0,66,20,5,0,0,0,43.4075390625,127065,12.056103614492002,1002.6576346292522,88.56429054946592
1771459182.6539528,0,0,0,0,0,0,57,17,4,0,0,0,43.400703125,129769,11.94602997632261,1002.6572465337084,88.56754932209114
1771459184.666952,0,0,0,0,0,0,57,17,4,0,0,0,43.398359375,128450,11.886092415596197,1002.6498904428082,88.62931736606963
1771459186.6799808,0,0,0,0,0,0,57,17,4,0,0,0,43.405,130825,11.87141468954056,1002.6481819193614,88.6436636457839
1771459188.6929903,0,0,0,0,0,0,54,17,4,0,0,0,43.4137890625,130151,11.961544954775254,1002.6392701323125,88.71849524277641
1771459190.7059731,0,0,0,0,0,0,54,17,4,0,0,0,43.424921875,129389,12.136752880126782,1002.6466156992476,88.65681503776607
1771459192.7189925,0,0,0,0,0,0,54,17,4,0,0,0,43.455,129295,12.398146618020093,1002.6454692794812,88.6664414192082
1771459194.73205,0,0,0,0,0,0,51,16,3,0,0,0,43.464765625,128077,12.488744322392037,1002.6452580147622,88.66821539061193
1771459196.7451093,0,0,0,0,0,0,51,16,3,0,0,0,43.466328125,131408,12.473779119283787,1002.6424465998697,88.69182262489939
1771459198.7580912,0,0,0,0,0,0,51,16,3,0,0,0,43.4649609375,129295,12.393572175835942,1002.638452310455,88.72536245759046
1771459200.7705507,0,0,0,0,0,0,51,16,3,0,0,0,43.4684765625,132590,12.303622390473807,1002.6352424277767,88.7523157476532
1771459202.7835422,0,0,0,0,0,0,51,16,3,0,0,0,43.4665234375,132391,12.223504170586859,1002.630299395007,88.79382238449065
1771459204.7965212,0,0,0,0,0,0,51,16,3,0,0,0,43.4618359375,131506,12.153318275562897,1002.633392210307,88.7678520008535
1771459206.8095407,0,0,0,0,0,0,51,16,3,0,0,0,43.4673046875,131310,12.13856011004316,1002.6351254009645,88.75329841965716
1771459208.8225348,0,0,0,0,0,0,51,16,3,0,0,0,43.4753125,131603,12.133904707237747,1002.637408732255,88.7341253452551
1771459210.8355935,0,0,0,0,0,0,51,16,3,0,0,0,43.477265625,133692,12.233966940594287,1002.6298881104466,88.79727594763656
1771459212.8485863,0,0,0,0,0,0,54,17,5,0,0,0,43.460078125,132590,12.233228622607275,1002.6269849522376,88.82165384696505
1771459214.861612,0,0,0,0,0,0,54,17,5,0,0,0,43.4684765625,134098,12.213587469592738,1002.6263399306121,88.82707011905964
1771459216.8746483,0,0,0,0,0,0,54,17,5,0,0,0,43.488203125,133895,12.264447885485495,1002.6315730805793,88.78312723329589
1771459218.8868484,0,0,0,0,0,0,51,16,5,1,0,0,43.50265625,133189,12.260067687084465,1002.6318275243952,88.78099066720806
1771459220.8997262,0,0,0,0,0,0,51,16,5,1,0,0,43.520234375,134711,12.240815027818861,1002.631798831206,88.78123160405087
1771459222.9137604,0,0,0,0,0,0,51,16,5,1,0,0,43.5372265625,135433,12.216537103894657,1002.6397234719359,88.71468857148942
1771459224.9270046,0,0,0,0,0,0,48,15,4,1,0,0,43.547578125,135536,12.206979100768457,1002.6333342367622,88.76833880436703
1771459226.9399524,0,0,0,0,0,0,48,15,4,1,0,0,43.55734375,136372,12.182395130755783,1002.6277764085472,88.81500796090084
1771459228.9507246,0,0,0,0,0,0,48,15,4,1,0,0,43.570625,135849,12.157965062312817,1002.6403751604886,88.7092163761099
1771459230.9625232,0,0,0,0,0,0,54,17,4,1,0,0,43.5856640625,137006,12.123616704302068,1002.6415729928236,88.69915824688083
1771459232.9743292,0,0,0,0,0,0,54,17,4,1,0,0,43.5997265625,134711,12.104224935547535,1002.6465313974177,88.65752291218094
1771459234.987387,0,0,0,0,0,0,54,17,4,1,0,0,43.6106640625,135122,12.099693044960047,1002.6464299372185,88.65837486385216
1771459237.0003674,0,0,0,0,0,0,60,20,4,1,0,0,43.6337109375,136794,12.055702739885172,1002.6516843854969,88.61425385186831
1771459239.012926,0,0,0,0,0,0,60,20,4,1,0,0,43.651875,138184,12.051477160714317,1002.6490322220747,88.63652374681732
1771459241.025449,0,0,0,0,0,0,60,20,4,1,0,0,43.672578125,135953,12.01738635188902,1002.6576128528217,88.56447340244304
