time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
45,0,36,0,0,0,0,0,15:54:59,28.1040234375,119322,27.41768737030981,1002.4930370673444,89.94648007893834
46,0,36,0,0,0,0,0,15:55:00,28.064765625,120004,27.447218153424117,1002.490976815281,89.96378197848658
47,0,36,0,0,0,0,0,15:55:01,28.0216015625,120261,27.48188637937721,1002.4925253930325,89.95077709296346
48,0,36,0,0,0,0,0,15:55:02,27.9692578125,120693,27.5049174165646,1002.4851657805733,90.01258292870318
49,0,36,0,0,0,0,0,15:55:03,27.9098828125,122719,27.53828309958387,1002.4846428816267,90.01697423455865
50,0,45,1,0,0,0,0,15:55:04,27.8596875,123078,27.583295368124315,1002.4792327699711,90.06240846629271
51,0,45,1,0,0,0,0,15:55:05,27.8235546875,123621,27.629451385482376,1002.4807850814391,90.04937210155029
52,0,45,1,0,0,0,0,15:55:06,27.7971875,124814,27.670952359174777,1002.480192423258,90.05434926327389
53,0,24,1,0,0,0,0,15:55:07,27.772578125,125654,27.71260429024587,1002.4877852897281,89.9905843162297
54,0,24,1,0,0,0,0,15:55:08,27.7532421875,126125,27.738320628721088,1002.4889531474378,89.98077667351114
55,0,24,1,0,0,0,0,15:55:09,27.73546875,126410,27.78600004438042,1002.4841999152253,90.02069426827414
56,0,24,1,0,0,0,0,15:55:10,27.7102734375,127175,27.81670946197038,1002.478727259378,90.0666537650513
57,0,24,1,0,0,0,0,15:55:11,27.69015625,129327,27.820534961379188,1002.4733817962348,90.11154529053464
58,0,24,1,0,0,0,0,15:55:12,27.6692578125,129327,27.85705828529637,1002.4632482094021,90.19664830277401
59,0,24,1,0,0,0,0,15:55:13,27.645234375,130027,27.89333417412167,1002.4546219441687,90.26909320602307
60,0,24,1,0,0,0,0,15:55:14,27.6196484375,130735,27.918563245248976,1002.4433055387656,90.36413114830752
61,0,24,1,0,0,0,0,15:55:15,27.599140625,131759,27.92781880499868,1002.4286762241555,90.48699300036515
62,0,24,1,0,0,0,0,15:55:16,27.56828125,132591,27.919843497484635,1002.3549319335017,91.10634419757685
63,0,24,1,0,0,0,0,15:55:17,27.54171875,134071,27.868532825941863,1002.3161178326992,91.43234438672872
64,0,24,1,0,0,0,0,15:55:18,27.5048046875,135257,27.810949432692396,1002.2990747187981,91.57549297433407
65,0,24,1,0,0,0,0,15:55:19,27.4690625,135475,27.775313992944657,1002.2857644104344,91.68729033802813
66,0,24,1,0,0,0,0,15:55:20,27.437421875,136023,27.750932977030395,1002.2726240355706,91.79766155733633
67,0,24,1,0,0,0,0,15:55:21,27.402265625,136687,27.742635277099,1002.2637551276963,91.87215569381482
68,0,24,1,0,0,0,0,15:55:22,27.3675,137357,27.745277553626966,1002.2934042272935,91.6231210252721
69,0,24,1,0,0,0,0,15:55:23,27.325703125,138034,27.736446111546023,1002.3264288857036,91.345740707682
70,0,24,1,0,0,0,0,15:55:24,27.2755078125,138717,27.748747568467692,1002.332946878745,91.29099573254297
71,0,30,6,0,0,0,0,15:55:25,27.2255078125,142117,27.73380484532575,1002.2795853757623,91.73919035460503
72,0,30,6,0,0,0,0,15:55:26,27.1805859375,140221,27.713827062170566,1002.2745194408833,91.78174122417978
73,0,30,6,0,0,0,0,15:55:27,27.1376171875,142479,27.69401384682391,1002.2745264778699,91.78168211751314
74,0,30,6,0,0,0,0,15:55:28,27.1020703125,142963,27.6857012038537,1002.2615027762251,91.891074340169
75,0,30,6,0,0,0,0,15:55:29,27.0719921875,142600,27.683278774625613,1002.2630463596049,91.87810899403453
76,0,30,6,0,0,0,0,15:55:30,27.04171875,143697,27.69173666668899,1002.2573711877197,91.92577774431291
77,0,30,6,0,0,0,0,15:55:31,27.0118359375,144561,27.672989126521557,1002.2747186026105,91.78006837967165
78,0,30,6,0,0,0,0,15:55:32,26.9825390625,144686,27.67607864229165,1002.2982273698124,91.58261008261343
79,0,30,6,0,0,0,0,15:55:33,26.9524609375,144066,27.673659061603747,1002.3152272076634,91.43982487913951
80,0,21,5,0,0,0,0,15:55:34,26.9219921875,145186,27.692993858662355,1002.3195139688579,91.4038197823801
81,0,21,5,0,0,0,0,15:55:35,26.8981640625,146706,27.680184527519593,1002.3266323304281,91.34403196010841
82,0,21,5,0,0,0,0,15:55:36,26.866328125,147737,27.677624838619394,1002.3182422345338,91.41450124083934
83,0,21,5,0,0,0,0,15:55:37,26.8286328125,148128,27.669150176119146,1002.3100749512781,91.48309955400518
84,0,21,5,0,0,0,0,15:55:38,26.790546875,148915,27.67697968047254,1002.2977918928888,91.58626777038577
85,0,21,5,0,0,0,0,15:55:39,26.7341015625,147349,27.672445950585434,1002.3106135670952,91.47857562001549
86,0,78,5,0,0,0,0,15:55:40,26.678828125,149444,27.711561396542294,1002.3305925941361,91.31076946271111
87,0,78,5,0,0,0,0,15:55:41,26.6321484375,149978,27.72958995036842,1002.3498871317008,91.14871498230937
88,0,78,5,0,0,0,0,15:55:42,26.5794140625,150650,27.752577344747873,1002.3759256510035,90.93002192265646
89,0,78,5,0,0,0,0,15:55:43,26.5419140625,150515,27.804023836833828,1002.3817929663174,90.88074398223529
90,0,78,5,0,0,0,0,15:55:44,26.5137890625,151464,27.84534118014161,1002.3694364887618,90.9845228535017
91,0,78,5,0,0,0,0,15:55:45,26.4809765625,150920,27.869940281509233,1002.3438498315903,91.19942188784374
92,0,87,5,0,0,0,0,15:55:46,26.44484375,152149,27.90517329063514,1002.3245683745189,91.361367294363
93,0,87,5,0,0,0,0,15:55:47,26.3930859375,155960,27.928247751534418,1002.312728474957,91.46081213626779
