time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
64,0,186,42,5,1,0,0,15:03:57,23.007734375,96209,44.24056814776499,1008.4054592258519,40.412413374041975
65,0,186,42,5,1,0,0,15:03:58,22.991328125,97214,44.23868785270288,1008.385004253886,40.58337856336306
66,0,186,42,5,1,0,0,15:03:59,22.9766796875,98356,44.224936783876046,1008.3743599936288,40.672345719854285
67,0,192,44,4,1,0,0,15:04:00,22.9598828125,98820,44.22904870701976,1008.3618557864232,40.77685970874721
68,0,192,44,4,1,0,0,15:04:01,22.94484375,99881,44.23336211359293,1008.3505596229675,40.87127740065787
69,0,192,44,4,1,0,0,15:04:02,22.9313671875,100722,44.24389083631004,1008.34186658019,40.94393778886457
70,1,183,45,6,2,0,0,15:04:03,22.9196484375,102196,44.26065808867139,1008.3361021650559,40.99211966067273
71,1,183,45,6,2,0,0,15:04:04,22.9102734375,102635,44.277695171154534,1008.339403694518,40.96452379484372
72,1,183,45,6,2,0,0,15:04:05,22.903046875,103459,44.30705617961448,1008.3445645428426,40.9213869409515
73,1,210,45,6,2,0,0,15:04:06,22.89953125,104492,44.31873019150344,1008.3455873026322,40.91283824366686
74,1,210,45,6,2,0,0,15:04:07,22.9016796875,105082,44.427709630720955,1008.3577687608341,40.81102054640452
75,1,210,45,6,2,0,0,15:04:08,22.90578125,106620,44.7669118445196,1008.3646035580044,40.75389290335691
76,2,294,67,14,3,0,0,15:04:09,22.9106640625,108979,44.55568797354772,1008.3813417266039,40.61399071645115
77,2,294,67,14,3,0,0,15:04:10,22.9266796875,110343,44.35808226611034,1008.3925473159939,40.52033238913165
78,2,294,67,14,3,0,0,15:04:11,22.94328125,112190,44.05219859890613,1008.399567558228,40.461656373889134
79,2,282,63,14,3,0,0,15:04:12,22.9598828125,112719,43.75889396638693,1008.3893826361757,40.54678326566479
80,2,282,63,14,3,0,0,15:04:13,22.9784375,114491,43.44828311203359,1008.3669661254513,40.73414580508616
81,2,282,63,14,3,0,0,15:04:14,22.9969921875,115677,43.16822137770647,1008.3497083886921,40.87839237981546
